Asado Desert (Paldea)	https://www.youtube.com/watch?v=cKgxcj-73-c&list=PLjJC3hyewH5DmdqmQb4k30kUwr2Svbc0a&index=78&pp=iAQB8AUB
Safari Zone (Hoenn)	https://youtu.be/0YQfvj9wlww?list=PLEiOTsktKIovEBsHeigZoj7_TPreqeM5D
Lake (Sinnoh)	https://youtu.be/gL_94zAbBaY?list=PLEiOTsktKIovNsGgxj8-5oM4_uo-id6Nm
bye	bye
South Wild Area (Galar)	https://www.youtube.com/watch?v=vW6t-QcgJww&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=55&pp=iAQB8AUB
Galar Region	https://www.youtube.com/watch?v=gLVCoTg1JYs&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=14&pp=iAQB8AUB
Polar Biome (Unova - SV)	https://www.youtube.com/watch?v=MVriwWBWrHU&list=PLgyn_xiMXpwzKc-_Y6b4WEWsCgcBarJ6O&index=9&pp=iAQB8AUB
Poni Wilds (Alola)	https://www.youtube.com/watch?v=Yb9ENtOhN70&list=PLEiOTsktKIotI7orc63yCGdouBd17CH_n&index=80&pp=iAQB8AUB
Area Zero Depths (Paldea)	https://www.youtube.com/watch?v=nV_jW08Ax0M&list=PLgyn_xiMXpwzKc-_Y6b4WEWsCgcBarJ6O&index=23&pp=iAQB8AUB
bye	bye
Isle of Armor (Galar)	https://www.youtube.com/watch?v=Aau9eW7sBZs&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=98&pp=iAQB8AUB
Poco Path (Paldea)	https://www.youtube.com/watch?v=fXoX8K6nhKk&list=PLjJC3hyewH5DmdqmQb4k30kUwr2Svbc0a&index=97&pp=iAQB8AUB
Cobalt Coastlands 2 (Hisui)	https://www.youtube.com/watch?v=3kyix6QEJQI&list=PLEiOTsktKIotZS5v5oQgqSnRY6tyNidnt&index=22&pp=iAQB8AUB
Crown Tundra (Galar)	https://www.youtube.com/watch?v=r0B3y4Ykkfc&list=PLEiOTsktKIovGIly0mCJozvAftHkVkt6r&index=112&pp=iAQB8AUB
bye	bye
Coastal Biome (Unova - SV)	https://www.youtube.com/watch?v=n04vFniTA88&list=PLgyn_xiMXpwzKc-_Y6b4WEWsCgcBarJ6O&index=6&pp=iAQB8AUB
Obsidian Fieldlands 1 (Hisui)	https://www.youtube.com/watch?v=5aD_-3nhyOI&list=PLEiOTsktKIotZS5v5oQgqSnRY6tyNidnt&index=1&pp=iAQB8AUB
Pokémon Village (Kalos)	https://www.youtube.com/watch?v=y4REuPGRPUM&list=PLEiOTsktKIovCDCmCjvxZK5z4nuzVe4vM&index=104&pp=iAQB8AUB
Lake (Hisui)	https://www.youtube.com/watch?v=_43dVxjL_3I&list=PLEiOTsktKIotZS5v5oQgqSnRY6tyNidnt&index=38&pp=iAQB8AUB
Savannah Biome (Unova - SV)	https://www.youtube.com/watch?v=YcNd8sTEpvE&list=PLgyn_xiMXpwzKc-_Y6b4WEWsCgcBarJ6O&index=5&pp=iAQB8AUB
